[1599062134] 0 (0)
[17:20:43 02/09/2020] (0) 0
[17:21:13 02/09/2020] (0) 0
[17:21:43 02/09/2020] (0) 0
[17:22:13 02/09/2020] (0) 0
[17:22:43 02/09/2020] (0) 0
[17:23:13 02/09/2020] (0) 0
[17:23:43 02/09/2020] (0) 0
[17:24:13 02/09/2020] (0) 0
[17:24:43 02/09/2020] (0) 0
[17:25:13 02/09/2020] (0) 0
[17:25:43 02/09/2020] (0) 0
[17:26:13 02/09/2020] (0) 0
[17:26:43 02/09/2020] (0) 0
[17:27:13 02/09/2020] (0) 0
[17:27:43 02/09/2020] (0) 0
[17:28:13 02/09/2020] (0) 0
[17:28:43 02/09/2020] (0) 0
[17:29:13 02/09/2020] (0) 0
[17:29:44 02/09/2020] (0) 0
[17:30:14 02/09/2020] (0) 0
[17:30:44 02/09/2020] (0) 0
[17:31:14 02/09/2020] (0) 0
[17:31:44 02/09/2020] (0) 0
[17:32:14 02/09/2020] (0) 0
[17:32:44 02/09/2020] (0) 0
[17:33:14 02/09/2020] (0) 0
[17:33:44 02/09/2020] (0) 0
[17:34:14 02/09/2020] (0) 0
[17:34:44 02/09/2020] (0) 0
[17:35:14 02/09/2020] (0) 0
[17:35:44 02/09/2020] (0) 0
[17:36:14 02/09/2020] (0) 0
[17:36:44 02/09/2020] (0) 0
[17:37:14 02/09/2020] (0) 0
[17:37:44 02/09/2020] (0) 0
[17:38:14 02/09/2020] (0) 0
[17:38:44 02/09/2020] (0) 0
[17:39:14 02/09/2020] (0) 0
[17:39:44 02/09/2020] (0) 0
[17:40:14 02/09/2020] (0) 0
[17:40:44 02/09/2020] (0) 0
[17:41:14 02/09/2020] (0) 0
[17:41:44 02/09/2020] (0) 0
[17:42:14 02/09/2020] (0) 0
[17:42:44 02/09/2020] (0) 0
[17:43:14 02/09/2020] (0) 0
[17:43:44 02/09/2020] (0) 0
[17:44:14 02/09/2020] (0) 0
[17:44:44 02/09/2020] (0) 0
[17:45:14 02/09/2020] (0) 0
[17:45:44 02/09/2020] (0) 0
[17:46:14 02/09/2020] (0) 0
[17:46:44 02/09/2020] (0) 0
[17:47:14 02/09/2020] (0) 0
[17:47:44 02/09/2020] (0) 0
[17:48:14 02/09/2020] (0) 0
[17:48:44 02/09/2020] (0) 0
[17:49:14 02/09/2020] (0) 0
[17:49:44 02/09/2020] (0) 0
[17:50:14 02/09/2020] (0) 0
[17:50:44 02/09/2020] (0) 0
[17:51:14 02/09/2020] (0) 0
[17:51:44 02/09/2020] (0) 0
[17:52:14 02/09/2020] (0) 0
[17:52:44 02/09/2020] (0) 0
[17:53:14 02/09/2020] (0) 0
[17:53:44 02/09/2020] (0) 0
[17:54:14 02/09/2020] (0) 0
[17:54:44 02/09/2020] (0) 0
[17:55:14 02/09/2020] (0) 0
[17:55:44 02/09/2020] (0) 0
[17:56:14 02/09/2020] (0) 0
[17:56:44 02/09/2020] (0) 0
[17:57:14 02/09/2020] (0) 0
[17:57:44 02/09/2020] (0) 0
[17:58:14 02/09/2020] (0) 0
[17:58:44 02/09/2020] (0) 0
[17:59:14 02/09/2020] (0) 0
[17:59:44 02/09/2020] (0) 0
[18:00:14 02/09/2020] (0) 0
[18:00:44 02/09/2020] (0) 0
[18:01:14 02/09/2020] (0) 0
[18:01:44 02/09/2020] (0) 0
[18:02:14 02/09/2020] (0) 0
[18:02:44 02/09/2020] (0) 0
[18:03:14 02/09/2020] (0) 0
[18:03:44 02/09/2020] (0) 0
[18:04:14 02/09/2020] (0) 0
[18:04:44 02/09/2020] (0) 0
[18:05:14 02/09/2020] (0) 0
[18:05:44 02/09/2020] (0) 0
[18:06:14 02/09/2020] (0) 0
[18:06:44 02/09/2020] (0) 0
[18:07:14 02/09/2020] (0) 0
[18:07:44 02/09/2020] (0) 0
[18:08:14 02/09/2020] (0) 0
[18:08:44 02/09/2020] (0) 0
[18:09:14 02/09/2020] (0) 0
[18:09:44 02/09/2020] (0) 0
[18:10:14 02/09/2020] (0) 0
[18:10:44 02/09/2020] (0) 0
[18:11:14 02/09/2020] (0) 0
[18:11:44 02/09/2020] (0) 0
[18:12:14 02/09/2020] (0) 0
[18:12:44 02/09/2020] (0) 0
[18:13:14 02/09/2020] (0) 0
[18:13:44 02/09/2020] (0) 0
[18:14:14 02/09/2020] (0) 0
[18:14:44 02/09/2020] (0) 0
[18:15:14 02/09/2020] (0) 0
[18:15:44 02/09/2020] (0) 0
[18:16:14 02/09/2020] (0) 0
[18:16:44 02/09/2020] (0) 0
[18:17:14 02/09/2020] (0) 0
[18:17:44 02/09/2020] (0) 0
[18:18:14 02/09/2020] (0) 0
[18:18:44 02/09/2020] (0) 0
[18:19:14 02/09/2020] (0) 0
[18:19:44 02/09/2020] (0) 0
[18:20:14 02/09/2020] (0) 0
[18:20:44 02/09/2020] (0) 0
[18:21:14 02/09/2020] (0) 0
[18:21:44 02/09/2020] (0) 0
[18:22:14 02/09/2020] (0) 0
[18:22:44 02/09/2020] (0) 0
[18:23:14 02/09/2020] (0) 0
[18:23:44 02/09/2020] (0) 0
[18:24:14 02/09/2020] (0) 0
[18:24:44 02/09/2020] (0) 0
[18:25:14 02/09/2020] (0) 0
[18:25:44 02/09/2020] (0) 0
[18:26:14 02/09/2020] (0) 0
[18:26:44 02/09/2020] (0) 0
[18:27:14 02/09/2020] (0) 0
[18:27:44 02/09/2020] (0) 0
[18:28:14 02/09/2020] (0) 0
[18:28:44 02/09/2020] (0) 0
[18:29:14 02/09/2020] (0) 0
[18:29:44 02/09/2020] (0) 0
[18:30:14 02/09/2020] (0) 0
[18:30:44 02/09/2020] (0) 0
[18:31:14 02/09/2020] (0) 0
[18:31:44 02/09/2020] (0) 0
[18:32:14 02/09/2020] (0) 0
[18:32:44 02/09/2020] (0) 0
[18:33:14 02/09/2020] (0) 0
[18:33:44 02/09/2020] (0) 0
[18:34:14 02/09/2020] (0) 0
[18:34:44 02/09/2020] (0) 0
[18:35:14 02/09/2020] (0) 0
[18:35:45 02/09/2020] (0) 0
[18:36:15 02/09/2020] (0) 0
[18:36:45 02/09/2020] (0) 0
[18:37:15 02/09/2020] (0) 0
[18:37:45 02/09/2020] (0) 0
[18:38:15 02/09/2020] (0) 0
[18:38:45 02/09/2020] (0) 0
[18:39:15 02/09/2020] (0) 0
[18:39:45 02/09/2020] (0) 0
[18:40:15 02/09/2020] (0) 0
[18:40:45 02/09/2020] (0) 0
[18:41:15 02/09/2020] (0) 0
[18:41:45 02/09/2020] (0) 0
[18:42:15 02/09/2020] (0) 0
[18:42:45 02/09/2020] (0) 0
[18:43:15 02/09/2020] (0) 0
[18:43:45 02/09/2020] (0) 0
[18:44:15 02/09/2020] (0) 0
[18:44:45 02/09/2020] (0) 0
[18:45:15 02/09/2020] (0) 0
[18:45:45 02/09/2020] (0) 0
[18:46:15 02/09/2020] (0) 0
[18:46:45 02/09/2020] (0) 0
[18:47:15 02/09/2020] (0) 0
[18:47:45 02/09/2020] (0) 0
[18:48:15 02/09/2020] (0) 0
[12:29:12 05/09/2020] (0) 0
[12:29:42 05/09/2020] (0) 1
[12:30:12 05/09/2020] (0) 0
[12:30:42 05/09/2020] (0) 0
[12:31:12 05/09/2020] (0) 0
[12:31:42 05/09/2020] (0) 0
[12:32:12 05/09/2020] (0) 0
[12:32:42 05/09/2020] (0) 0
[12:33:12 05/09/2020] (0) 0
[12:33:42 05/09/2020] (0) 0
[12:34:12 05/09/2020] (0) 0
[12:34:42 05/09/2020] (0) 0
[12:35:12 05/09/2020] (0) 0
[12:35:42 05/09/2020] (0) 0
[12:36:12 05/09/2020] (0) 0
[12:36:42 05/09/2020] (0) 0
[12:37:12 05/09/2020] (0) 0
[12:37:42 05/09/2020] (0) 0
[12:38:12 05/09/2020] (0) 0
[12:38:42 05/09/2020] (0) 0
[12:39:12 05/09/2020] (0) 0
[12:39:42 05/09/2020] (0) 0
[12:40:12 05/09/2020] (0) 0
[12:40:42 05/09/2020] (0) 0
[12:41:12 05/09/2020] (0) 0
[12:41:42 05/09/2020] (0) 0
[12:42:12 05/09/2020] (0) 0
[12:42:42 05/09/2020] (0) 0
[12:43:12 05/09/2020] (0) 0
[12:43:42 05/09/2020] (0) 0
[12:53:04 05/09/2020] (0) 0
[12:53:34 05/09/2020] (0) 1
[12:53:37 05/09/2020] (0) 0
[12:54:07 05/09/2020] (0) 11
[12:54:37 05/09/2020] (0) 0
[12:55:07 05/09/2020] (0) 0
[12:55:37 05/09/2020] (0) 0
[12:56:07 05/09/2020] (0) 0
[12:56:16 05/09/2020] (0) 0
[12:56:34 05/09/2020] (0) 2
[12:57:04 05/09/2020] (0) 0
[12:57:10 05/09/2020] (0) 0
[12:57:40 05/09/2020] (0) 6
[12:58:10 05/09/2020] (0) 1
[12:58:40 05/09/2020] (0) 0
[12:59:10 05/09/2020] (0) 1
[12:59:41 05/09/2020] (0) 0
[13:00:11 05/09/2020] (0) 1
[13:00:41 05/09/2020] (0) 0
[13:01:11 05/09/2020] (0) 0
[13:01:41 05/09/2020] (0) 0
[13:02:11 05/09/2020] (0) 0
[13:02:41 05/09/2020] (0) 0
[13:03:11 05/09/2020] (0) 0
[13:03:41 05/09/2020] (0) 0
[13:04:11 05/09/2020] (0) 0
[13:04:41 05/09/2020] (0) 0
[13:05:11 05/09/2020] (0) 0
[13:05:41 05/09/2020] (0) 0
[13:06:11 05/09/2020] (0) 0
[13:06:41 05/09/2020] (0) 0
[13:07:11 05/09/2020] (0) 0
[13:07:41 05/09/2020] (0) 0
[13:08:11 05/09/2020] (0) 0
[13:08:41 05/09/2020] (0) 0
[13:09:11 05/09/2020] (0) 0
[13:09:41 05/09/2020] (0) 0
[13:10:11 05/09/2020] (0) 0
[13:10:41 05/09/2020] (0) 0
[13:11:11 05/09/2020] (0) 0
[13:11:41 05/09/2020] (0) 2
[13:12:09 05/09/2020] (0) 0
[13:12:24 05/09/2020] (0) 0
[13:12:35 05/09/2020] (0) 0
[13:13:05 05/09/2020] (0) 1
[13:13:35 05/09/2020] (0) 0
[13:14:05 05/09/2020] (0) 0
[13:14:35 05/09/2020] (0) 0
[13:15:05 05/09/2020] (0) 0
[13:15:35 05/09/2020] (0) 0
[13:16:05 05/09/2020] (0) 0
[13:21:09 05/09/2020] (0) 0
[13:21:27 05/09/2020] (0) 0
[13:22:32 05/09/2020] (0) 0
[13:23:02 05/09/2020] (0) 0
[13:23:06 05/09/2020] (0) 1
[13:23:23 05/09/2020] (0) 0
[13:23:53 05/09/2020] (0) 5
[13:24:23 05/09/2020] (0) 1
[13:24:28 05/09/2020] (0) 0
[13:24:57 05/09/2020] (0) 1
[13:25:28 05/09/2020] (0) 0
[13:25:58 05/09/2020] (0) 0
[13:26:28 05/09/2020] (0) 0
[13:26:58 05/09/2020] (0) 0
[13:27:28 05/09/2020] (0) 0
[13:27:58 05/09/2020] (0) 0
[13:28:28 05/09/2020] (0) 0
[13:28:58 05/09/2020] (0) 0
[13:29:29 05/09/2020] (0) 0
[13:29:59 05/09/2020] (0) 2
[13:30:29 05/09/2020] (0) 1
[13:30:33 05/09/2020] (0) 1
[13:31:03 05/09/2020] (0) 0
[13:31:23 05/09/2020] (0) 0
[13:31:36 05/09/2020] (0) 0
[13:31:51 05/09/2020] (0) 0
[13:33:08 05/09/2020] (0) 0
[13:33:28 05/09/2020] (0) 0
[13:33:34 05/09/2020] (0) 0
[13:33:42 05/09/2020] (0) 0
[13:34:12 05/09/2020] (0) 0
[13:34:42 05/09/2020] (0) 0
[13:35:12 05/09/2020] (0) 0
[13:35:42 05/09/2020] (0) 0
[13:35:51 05/09/2020] (0) 0
[13:36:21 05/09/2020] (0) 0
[13:36:46 05/09/2020] (0) 0
[13:37:16 05/09/2020] (0) 0
[13:37:46 05/09/2020] (0) 0
[13:38:16 05/09/2020] (0) 0
[13:38:46 05/09/2020] (0) 0
[13:39:16 05/09/2020] (0) 0
[13:39:46 05/09/2020] (0) 0
[13:40:16 05/09/2020] (0) 0
[13:40:46 05/09/2020] (0) 0
[13:41:16 05/09/2020] (0) 0
[13:41:46 05/09/2020] (0) 0
[13:42:16 05/09/2020] (0) 0
[13:42:46 05/09/2020] (0) 0
[13:43:16 05/09/2020] (0) 0
[13:43:29 05/09/2020] (0) 0
[13:43:59 05/09/2020] (0) 1
[13:44:29 05/09/2020] (0) 0
[13:44:59 05/09/2020] (0) 0
[13:45:29 05/09/2020] (0) 0
[13:45:59 05/09/2020] (0) 0
[13:46:22 05/09/2020] (0) 0
[13:46:39 05/09/2020] (0) 0
[13:47:00 05/09/2020] (0) 0
[13:47:30 05/09/2020] (0) 1
[13:48:00 05/09/2020] (0) 0
[13:48:30 05/09/2020] (0) 0
[13:49:00 05/09/2020] (0) 0
[13:49:30 05/09/2020] (0) 0
[13:50:00 05/09/2020] (0) 0
[13:50:30 05/09/2020] (0) 0
[13:51:00 05/09/2020] (0) 0
[13:51:30 05/09/2020] (0) 0
[13:52:00 05/09/2020] (0) 0
[13:52:30 05/09/2020] (0) 0
[13:53:00 05/09/2020] (0) 0
[13:53:03 05/09/2020] (0) 0
[13:53:33 05/09/2020] (0) 2
[13:53:55 05/09/2020] (0) 0
[13:54:25 05/09/2020] (0) 41
[13:54:55 05/09/2020] (0) 0
[13:55:25 05/09/2020] (0) 1
[13:55:55 05/09/2020] (0) 0
[13:56:25 05/09/2020] (0) 0
[13:56:55 05/09/2020] (0) 0
[13:57:25 05/09/2020] (0) 0
[13:57:55 05/09/2020] (0) 0
[13:57:58 05/09/2020] (0) 0
[13:58:28 05/09/2020] (0) 6
[13:58:58 05/09/2020] (0) 0
[13:59:28 05/09/2020] (0) 0
[13:59:58 05/09/2020] (0) 0
[14:00:28 05/09/2020] (0) 0
[14:00:58 05/09/2020] (0) 0
[14:01:28 05/09/2020] (0) 0
[14:01:38 05/09/2020] (0) 0
[14:01:50 05/09/2020] (0) 0
[14:02:20 05/09/2020] (0) 4
[14:02:50 05/09/2020] (0) 0
[14:03:20 05/09/2020] (0) 0
[14:03:50 05/09/2020] (0) 0
[14:03:55 05/09/2020] (0) 0
[14:04:08 05/09/2020] (0) 0
[14:04:21 05/09/2020] (0) 0
[14:04:51 05/09/2020] (0) 8
[14:05:21 05/09/2020] (0) 0
[14:05:51 05/09/2020] (0) 0
[14:06:21 05/09/2020] (0) 0
[14:06:51 05/09/2020] (0) 0
[14:07:21 05/09/2020] (0) 0
[14:07:51 05/09/2020] (0) 0
[14:08:21 05/09/2020] (0) 0
[14:08:51 05/09/2020] (0) 0
[14:09:21 05/09/2020] (0) 0
[14:09:51 05/09/2020] (0) 0
[14:10:21 05/09/2020] (0) 0
[14:10:51 05/09/2020] (0) 0
[14:11:21 05/09/2020] (0) 0
[14:11:51 05/09/2020] (0) 0
[14:12:21 05/09/2020] (0) 0
[14:12:51 05/09/2020] (0) 0
[14:13:21 05/09/2020] (0) 0
[14:13:52 05/09/2020] (0) 0
[14:14:22 05/09/2020] (0) 0
[14:14:52 05/09/2020] (0) 0
[14:15:22 05/09/2020] (0) 0
[14:15:52 05/09/2020] (0) 0
[14:16:22 05/09/2020] (0) 0
[14:16:52 05/09/2020] (0) 0
[14:17:22 05/09/2020] (0) 0
[14:17:52 05/09/2020] (0) 0
[14:18:22 05/09/2020] (0) 0
[14:23:03 05/09/2020] (0) 0
[14:23:33 05/09/2020] (0) 3
[14:24:03 05/09/2020] (0) 16
[14:24:33 05/09/2020] (0) 8
[14:25:03 05/09/2020] (0) 2
[14:25:33 05/09/2020] (0) 1
[14:25:52 05/09/2020] (0) 0
[14:26:22 05/09/2020] (0) 4
[14:26:34 05/09/2020] (0) 0
[14:27:04 05/09/2020] (0) 2
[14:27:34 05/09/2020] (0) 0
[14:28:04 05/09/2020] (0) 0
[14:28:25 05/09/2020] (0) 0
[14:28:55 05/09/2020] (0) 3
[14:29:25 05/09/2020] (0) 1
[14:29:55 05/09/2020] (0) 0
[14:30:04 05/09/2020] (0) 0
[14:30:34 05/09/2020] (0) 2
[14:31:00 05/09/2020] (0) 0
[14:31:30 05/09/2020] (0) 2
[14:32:00 05/09/2020] (0) 0
[14:32:30 05/09/2020] (0) 0
[14:33:00 05/09/2020] (0) 0
[14:33:30 05/09/2020] (0) 0
[14:33:40 05/09/2020] (0) 0
[14:34:10 05/09/2020] (0) 2
[14:34:40 05/09/2020] (0) 0
[14:35:10 05/09/2020] (0) 0
[14:35:41 05/09/2020] (0) 0
[14:36:35 05/09/2020] (0) 0
[14:37:05 05/09/2020] (0) 1
[14:37:35 05/09/2020] (0) 0
[14:38:05 05/09/2020] (0) 0
[14:38:35 05/09/2020] (0) 0
[14:39:05 05/09/2020] (0) 2
[14:39:34 05/09/2020] (0) 0
[14:40:49 05/09/2020] (0) 0
[14:41:19 05/09/2020] (0) 0
[14:41:37 05/09/2020] (0) 0
[14:44:04 05/09/2020] (0) 0
[14:49:38 05/09/2020] (0) 0
[14:50:08 05/09/2020] (0) 2
[14:50:26 05/09/2020] (0) 0
[14:50:56 05/09/2020] (0) 2
[14:51:26 05/09/2020] (0) 0
[14:51:56 05/09/2020] (0) 0
[14:52:26 05/09/2020] (0) 0
[14:52:56 05/09/2020] (0) 0
[14:53:26 05/09/2020] (0) 0
[14:53:56 05/09/2020] (0) 0
[14:54:26 05/09/2020] (0) 0
[14:54:56 05/09/2020] (0) 0
[14:55:26 05/09/2020] (0) 0
[14:55:56 05/09/2020] (0) 0
[14:56:26 05/09/2020] (0) 0
[14:56:56 05/09/2020] (0) 0
[14:57:26 05/09/2020] (0) 0
[14:57:51 05/09/2020] (0) 0
[14:58:16 05/09/2020] (0) 0
[14:58:46 05/09/2020] (0) 3
[14:59:16 05/09/2020] (0) 0
[14:59:46 05/09/2020] (0) 0
[15:00:16 05/09/2020] (0) 0
[15:00:46 05/09/2020] (0) 0
[15:01:16 05/09/2020] (0) 0
[15:01:46 05/09/2020] (0) 0
[15:02:16 05/09/2020] (0) 0
[15:02:46 05/09/2020] (0) 0
[15:03:16 05/09/2020] (0) 0
[15:03:46 05/09/2020] (0) 0
[15:04:16 05/09/2020] (0) 0
[15:04:46 05/09/2020] (0) 0
[15:05:17 05/09/2020] (0) 0
[15:05:41 05/09/2020] (0) 0
[15:06:00 05/09/2020] (0) 0
[15:06:30 05/09/2020] (0) 2
[15:07:00 05/09/2020] (0) 0
[15:07:30 05/09/2020] (0) 0
[15:08:00 05/09/2020] (0) 0
[15:08:30 05/09/2020] (0) 0
[15:08:39 05/09/2020] (0) 0
[15:09:12 05/09/2020] (0) 0
[15:09:42 05/09/2020] (0) 21
[15:10:12 05/09/2020] (0) 2
[15:10:42 05/09/2020] (0) 0
[15:11:12 05/09/2020] (0) 0
[15:11:42 05/09/2020] (0) 0
[15:12:12 05/09/2020] (0) 0
[15:12:42 05/09/2020] (0) 0
[15:13:12 05/09/2020] (0) 0
[15:13:42 05/09/2020] (0) 0
[15:14:12 05/09/2020] (0) 0
[15:14:42 05/09/2020] (0) 0
[15:15:12 05/09/2020] (0) 0
[15:15:42 05/09/2020] (0) 0
[15:16:12 05/09/2020] (0) 0
[15:16:42 05/09/2020] (0) 4
[15:17:12 05/09/2020] (0) 2
[15:17:28 05/09/2020] (0) 0
[15:17:58 05/09/2020] (0) 3
[15:18:04 05/09/2020] (0) 0
[15:18:34 05/09/2020] (0) 3
[15:19:04 05/09/2020] (0) 13
[15:19:34 05/09/2020] (0) 25
[15:20:04 05/09/2020] (0) 8
[15:20:34 05/09/2020] (0) 0
[15:21:01 05/09/2020] (0) 0
[15:21:31 05/09/2020] (0) 12
[15:22:01 05/09/2020] (0) 2
[15:22:31 05/09/2020] (0) 5
[15:23:01 05/09/2020] (0) 8
[15:23:31 05/09/2020] (0) 16
[15:24:01 05/09/2020] (0) 18
[15:24:31 05/09/2020] (0) 12
[15:25:01 05/09/2020] (0) 9
[15:48:27 05/09/2020] (0) 0
[15:48:57 05/09/2020] (0) 3
[15:49:27 05/09/2020] (0) 0
[15:49:57 05/09/2020] (0) 0
[15:50:27 05/09/2020] (0) 0
[15:50:57 05/09/2020] (0) 0
[15:51:27 05/09/2020] (0) 0
[15:51:57 05/09/2020] (0) 0
[15:52:27 05/09/2020] (0) 0
[15:52:59 05/09/2020] (0) 0
[15:53:22 05/09/2020] (0) 0
[15:53:35 05/09/2020] (0) 0
[15:54:05 05/09/2020] (0) 0
[15:54:35 05/09/2020] (0) 0
[15:55:05 05/09/2020] (0) 0
[15:55:12 05/09/2020] (0) 0
[15:55:42 05/09/2020] (0) 1
[15:56:12 05/09/2020] (0) 7
[15:56:42 05/09/2020] (0) 0
[15:57:12 05/09/2020] (0) 0
[15:57:42 05/09/2020] (0) 0
[15:58:12 05/09/2020] (0) 0
[15:58:42 05/09/2020] (0) 0
[15:58:49 05/09/2020] (0) 0
[15:59:19 05/09/2020] (0) 3
[15:59:49 05/09/2020] (0) 1
[15:59:55 05/09/2020] (0) 0
[16:00:25 05/09/2020] (0) 4
[16:00:34 05/09/2020] (0) 0
[16:01:04 05/09/2020] (0) 2
[16:01:34 05/09/2020] (0) 0
[16:01:49 05/09/2020] (0) 0
[16:01:59 05/09/2020] (0) 0
[16:02:29 05/09/2020] (0) 2
[16:02:36 05/09/2020] (0) 0
[16:03:06 05/09/2020] (0) 2
[16:03:36 05/09/2020] (0) 0
[16:04:06 05/09/2020] (0) 0
[16:04:52 05/09/2020] (0) 0
[16:05:07 05/09/2020] (0) 0
